"","hhid14","commid14","sc01_14_14","sc02_14_14","sc03_14_14","year","asset","natrep","natdis","assistance","assistance.x","wealth","wealth.0","asset.lag","asset.ihs","asset.ihs.lag","wealth.lag","asset.ihs.delta","natrep.0","natrep.1","natdis.0","natdis.1","assistance.prop.ihs"
"35","0030312","1203",12,77,50,2007,51757126.5,0,0,0,0,3,4,125543880,18.4552198713335,19.34131307742,4,-0.886093206086542,0,0,0,0,0
"36","0030312","1203",12,77,50,2014,30700000,0,0,0,0,2,4,51757126.5,17.9329203931174,18.4552198713335,3,-0.522299478216084,0,0,0,0,0
"37","0030400","1203",12,77,50,2007,3358603,0,0,0,0,1,3,35585000,15.7201828522319,18.0805819392755,3,-2.36039908704352,0,0,0,0,0
"38","0030400","1203",12,77,50,2014,198150000,0,0,0,0,4,3,3358603,19.7976820581607,15.7201828522319,1,4.07749920592873,0,0,0,0,0
"39","0030500","1203",12,77,50,2007,360522687.5,0,0,0,0,5,5,298914000,20.3962126266948,20.2088136451247,5,0.187398981570073,0,0,0,0,0
"40","0030500","1203",12,77,50,2014,318300000,0,0,0,0,4,5,360522687.5,20.2716520728123,20.3962126266948,5,-0.124560553882528,0,0,0,0,0
"41","0030700","12A7",12,77,50,2007,31997094.5,1,0,0,0,2,3,58239834.4,17.9743028403267,18.573227299002,3,-0.598924458675352,1,0,0,0,0
"42","0030700","12A7",12,77,50,2014,6275000,0,0,0,0,1,3,31997094.5,16.3452312235421,17.9743028403267,2,-1.62907161678459,1,0,0,0,0
"43","0030800","1203",12,77,50,2007,157658548,0,0,0,0,4,4,96577690,19.5690893444218,19.0790055006881,4,0.4900838437337,0,0,0,0,0
"44","0030800","1203",12,77,50,2014,191185000,0,0,0,0,4,4,157658548,19.7618992841812,19.5690893444218,4,0.192809939759336,0,0,0,0,0
"45","0030900","1203",12,77,50,2007,403484190,0,0,0,0,5,5,937735920,20.5087950433104,21.3521261127107,5,-0.843331069400289,0,0,0,0,0
"46","0030900","1203",12,77,50,2014,5.35e+08,0,0,0,0,5,5,403484190,20.7909244854202,20.5087950433104,5,0.282129442109778,0,0,0,0,0
"47","0031000","1203",12,77,50,2007,133704027.5,0,0,0,0,4,5,280025482,19.404286345589,20.1435383446954,5,-0.739251999106393,0,0,0,0,0
"48","0031000","1203",12,77,50,2014,91350000,0,0,0,0,3,5,133704027.5,19.0233560213482,19.404286345589,4,-0.380930324240801,0,0,0,0,0
"49","0031100","1203",12,77,50,2007,149856950,1,0,0,0,4,1,2562120,19.5183389109244,15.4494927793094,1,4.06884613161502,1,0,0,0,0
"50","0031100","1203",12,77,50,2014,85540000,0,0,0,0,3,1,149856950,18.957641841323,19.5183389109244,4,-0.560697069601449,1,0,0,0,0
"51","0031200","1203",12,77,50,2007,98995953,1,0,0,0,3,5,267172180,19.1037367090354,20.0965510579997,5,-0.992814348964345,1,0,0,0,0
"52","0031200","1203",12,77,50,2014,328700000,0,0,0,0,4,5,98995953,20.3038032191944,19.1037367090354,3,1.20006651015902,1,0,0,0,0
"53","0031211","1203",12,77,50,2007,3795372,0,0,0,0,1,1,6262960,15.8424401682832,16.3433106553315,1,-0.500870487048241,0,0,0,0,0
"54","0031211","1203",12,77,50,2014,107140000,0,0,0,0,3,1,3795372,19.182794128977,15.8424401682832,1,3.3403539606938,0,0,0,0,0
"55","0031300","1203",12,77,50,2007,240976,0,0,0,0,1,1,2277440,13.0855998030159,15.331709743653,1,-2.24610994063716,0,0,0,0,0
"56","0031300","1203",12,77,50,2014,630000,0,0,0,0,1,1,240976,14.0466222789283,13.0855998030159,1,0.961022475912412,0,0,0,0,0
